Alltag: der Alltag, = **everyday life**
Arbeitsalltag: der Arbeitsalltag, = **workday**
annehmen: Er nimmt etwas an. Er hat etwas angenommen., = to **accept**, to assume
mitnehmen: Er nimmt etwas mit. Er hat etwas mitgenommen., = to **take along**
Paket: das Paket - zwei Pakete, = the **package**
Ticket: das Ticket - zwei Tickets, = the **ticket**
Kauf: der Kauf - zwei Käufe, = the **purchase**
Bis dann!/bis dann: Bis dann!, = **See you later!**
Kommst du heute nicht? Doch, ich komme!/doch: Kommst du heute nicht? Doch, ich komme!, = **Aren't you coming today? Yes, I am coming.** 
Reihenfolge: die Reihenfolge - zwei Reihenfolgen, = the (chronological) **order** 
später: Er kommt später., = **later**
einkaufen gehen/einkaufen: Er geht einkaufen. Er ist einkaufen gegangen., = **go shopping**
Nachbar: der Nachbar - zwei Nachbarn, = **neighbor**
anders als/als: Er ist anders als sie., = He is **different from** her.
Was bedeutet das?/bedeuten: Was bedeutet das?, = **What does it mean?**
Blog: der Blog - zwei Blogs, = the **blog**
endlich: Wann sind wir endlich fertig?, = **finally** 
erklären: Er erklärt es sehr gut., = to **explain**
Fehler: der Fehler - zwei Fehler, = the **mistake**
Leben: das Leben - zwei Leben, = the **life**
leicht: Das ist leicht., = This is **easy**.
Lied: das Lied - zwei Lieder, = the **song**
Pause: die Pause - zwei Pausen, = the **break**
Praktikum: das Praktikum - zwei Praktika, = the **internship**
zum Bus/zu: Ich gehe zum Bus. Du gehst zur Bahn. Er geht zum Schiff., = I'm going **to the bus** / train / ship.
Apfelschorle: die Apfelschorle - zwei Apfelschorlen, = the **apple spritzer**
verwenden: Verwendest du Anki?, = to **use**
Kunde: der Kunde - zwei Kunden, = the **customer**
Besuch: der Besuch - zwei Besuche, = the **visit**
Mitarbeiter: der Mitarbeiter - zwei Mitarbeiter, = the **colleague**
Fest: das Fest - zwei Feste, = the **party**
Urlaub: der Urlaub - zwei Urlaube, = the **holiday**
Aussprache: die Aussprache, = the **pronunciation**
Silbe: die Silbe - zwei Silben, = the **syllable**
Anfang: der Anfang - zwei Anfänge, = the **beginning**
nach Hause/nach: Ich gehe nach Hause., = I'm going **home**.
Automat: der Automat - zwei Automaten, = the **vending machine**
bar: Zahlen Sie bar oder mit Karte?, = Do you pay **cash** or by card?
genug: Es gibt genug für alle., = There is **enough** for everyone.
holen: Ich hole Kaffee., = I'll **get** coffee.
Konto: das Konto - zwei Konten, = the (bank) **account**
Kreditkarte: die Kreditkarte - zwei Kreditkarten, = the **credit card**
Bank/Bank#2: die Bank - zwei Banken, = the **bank** (financial institution)
Bericht: der Bericht - zwei Berichte, = the **report**
dauern: Das dauert lange., = This **takes** a long time.
korrigieren: Ich korrigiere das., = I'll **correct** that.
Post: die Post, = the **post office**
Zufall: der Zufall - zwei Zufälle, = the **coincidence**
Kurzform: die Kurzform, = the **short version**
Ortsangabe: die Ortsangabe - zwei Ortsangaben, = the **location information**
Zahnarzt: der Zahnarzt - zwei Zahnärzte, = the **dentist**
Bäcker: der Bäcker - zwei Bäcker, = the **baker**
Hausmeister: der Hausmeister - zwei Hausmeister, = the **caretaker**
Akku: der Akku - die Akkus, = the **battery**
anmachen: Er macht das Licht an. Er hat das Licht angemacht., = to **turn on**
ausmachen: Er macht das Licht aus. Er hat das Licht ausgemacht., = to **turn off**
Datei: die Datei - zwei Dateien, = the **file**
drucken: Er druckt mit dem Drucker., = to **print**
eingeben: Er gibt das Passwort ein. Er hat das Passwort eingegeben., = to **enter**
hochfahren: Er fährt den Computer hoch. Er hat den Computer hochgefahren., = to **boot up**
leer: Der Akku ist leer., = The battery is **empty**.
Medium: das Medium - zwei Medien, = the **media**
Mist: der Mist, = the **crap**, the rubbish
Netz: das Netz - zwei Netze, = the **network**
öffnen: Er öffnet die Tür. Er hat die Tür geöffnet., = to **open**
Passwort: das Passwort - zwei Passwörter, = the **password**
speichern: Er speichert die Datei. Er hat die Datei gespeichert., = to **save**
WLAN: das WLAN, = the **WiFi**
aktuell: Ich sehe die aktuelle Karte., = I see the **current** map.
argentinisch: argentinisch, = **Argentinian**
Brief: der Brief - zwei Briefe, = the **letter**
diskutieren: Wir diskutieren das. Wir haben das diskutiert., = to **discuss**
erwachsen/erwachsen#2: Er hat eine erwachsene Tochter., = He has a **grown-up / adult** daughter.
ganz: die ganze Welt, = the **whole** world
Treffen: das Treffen, = the **meeting**
sich kennenlernen/kennenlernen: Wir lernen uns kennen., = We **get to know each other**. 
Mitglied: das Mitglied - zwei Mitglieder, = the **member**
Gruppe: die Gruppe - zwei Gruppen, = the **group**
Präsentation: die Präsentation - zwei Präsentationen, = the **presentation**
montags: montags, dienstags, mittwochs, donnerstags, freitags, samstags, sonntags, = **on Mondays**
Spezialität: die Spezialität - zwei Spezialitäten, = the **specialty**
Park: der Park - zwei Parks, = the **park**
Südamerika: Südamerika, = **South America**
zeigen: Ich zeige dem Mann das Foto. Ich habe dem Mann das Foto gezeigt., = to **show**
Kontakt: der Kontakt - zwei Kontakte, = the **contact**
Institut: das Institut - zwei Institute, = the **institute**
Absender: der Absender - zwei Absender, = the **sender / shipper**
Empfänger: der Empfänger - zwei Empfänger, = the **recipient**
Unterschrift: die Unterschrift - zwei Unterschriften, = the **signature**
auswendig: Ich kann alles auswendig lernen., = I can learn everything **by heart**.
freundlich: freundlich, = **friendly**
denken: Er denkt. Er hat gedacht., = to **think**
Krankheit: die Krankheit - zwei Krankheiten, = the **disease / illness**
Mittagspause: die Mittagspause - zwei Mittagspausen, = the **lunch break**
Politik: die Politik, = the **politics**
Religion: die Religion - zwei Religionen, = the **religion**
Serie: die Serie - zwei Serien, Diese Serie läuft auf Netflix., = the **series**
Aufzug: der Aufzug - zwei Aufzüge, = the **elevator**
beliebt: beliebt, = **popular**
dazu: dazu, = **in addition / for that**
die meisten/meist: die meisten, = **most / most of them**
fernsehen: Er sieht fern. Er hat ferngesehen., = **watch TV**
formulieren: Er formuliert das anders. Er hat das anders formuliert., = He **puts it** differently.
gar/gar#2: Ich mag das gar nicht., = I don't like it **at all**. I really don't like it.
Gespräch: das Gespräch - zwei Gespräche, = the **talk**
Thema: das Thema - zwei Themen, = the **topic**
gestern: gestern, = **yesterday**
sich interessieren/interessieren: Ich interessiere mich für viele Dinge., = to **be interested** in  
langweilig: langweilig, = **boring**
neutral: neutral, = **neutral**
reden: Ich rede mit dir. Und du redest mit mir., = to **talk** to sb 
schwer: schwer, = **difficult / heavy**
eigentlich: eigentlich, = **actually**
heiß: heiß, = **hot**
schrecklich: Das ist schrecklich!, = **terrible**
Es regnet wieder!/regnen: Es regnet wieder!, = **It's raining again!**
