"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,"Monate 01, 02, 03","Januar, Februar, März","April, Februar, März","Oktober, Februar, März","Januar, April, März",10,1
2,"Monate 04, 05, 06","April, Mai, Juni","April, September, Juni","April, Oktober, Juni","August, Mai, Juni",10,1
3,"Monate 07, 08, 09","Juli, August, September","Juli, August, November","Juli, Mai, September","Juli, Juni, September",10,1
4,"Monate 10, 11, 12","Oktober, November, Dezember","Januar, November, Dezember","Oktober, August, Dezember","Oktober, März, Dezember",10,1
5,"Monate 02, 03, 01","Februar, März, Januar","September, März, Januar","Juli, März, Januar","August, März, Januar",10,1
6,"Monate 05, 06, 04","Mai, Juni, April","Mai, Juni, Dezember","Februar, Juni, April","Mai, Juni, Januar",10,1
7,"Monate 08, 09, 07","August, September, Juli","August, April, Juli","August, November, Juli","August, Februar, Juli",10,1
8,"Monate 11, 12, 10","November, Dezember, Oktober","Januar, Dezember, Oktober","August, Dezember, Oktober","November, Juni, Oktober",10,1
9,"Monate 02, 01, 03","Februar, Januar, März","Februar, November, März","Februar, Juli, März","Februar, Mai, März",10,1
10,"Monate 05, 04, 06","Mai, April, Juni","Mai, September, Juni","Mai, August, Juni","Dezember, April, Juni",10,1
11,"Monate 08, 07, 09","August, Juli, September","Oktober, Juli, September","August, Juli, Juni","August, Juli, Oktober",10,1
12,"Monate 11, 10, 12","November, Oktober, Dezember","September, Oktober, Dezember","November, Oktober, März","Mai, Oktober, Dezember",10,1
13,"Monate 01, 03, 02","Januar, März, Februar","Januar, März, Juni","Januar, August, Februar","Januar, Oktober, Februar",10,1
14,"Monate 04, 06, 05","April, Juni, Mai","Juli, Juni, Mai","April, August, Mai","August, Juni, Mai",10,1
15,"Monate 07, 09, 08","Juli, September, August","März, September, August","Juli, September, Oktober","April, September, August",10,1
16,"Monate 10, 12, 11","Oktober, Dezember, November","Oktober, Dezember, September","Juni, Dezember, November","Oktober, Dezember, Februar",10,1
