"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,Mensch = the human being,der Mensch - zwei Menschen !,der Medsch - zwei Menschen !,dtr Mensch - zwei Menschen !,der Mensch - zwei Mensshen !,10,1
2,Haus = the house,das Haus - zwei Häuser !,das Haus - zwei Hjuser !,das Haus - zwei Häuter !,das Haur - zwei Häuser !,10,1
3,Rathaus = the town hall,das Rathaus - zwei Rathäuser  !,das Rcthaus - zwei Rathäuser  !,pas Rathaus - zwei Rathäuser  !,das Rathaus - zwei Rathäurer  !,10,1
4,Konzerthaus = the concert hall,das Konzerthaus - zwei Konzerthäuser !,das Konzerthaus - zwei wonzerthäuser !,das Koncerthaus - zwei Konzerthäuser !,das Konzerthaus - zwey Konzerthäuser !,10,1
5,Kirche = the church,die Kirche - zwei Kirchen !,die Kirche - zwei Kirchen p,die Kirche - zwei Kirghen !,die Kirche - zwci Kirchen !,10,1
6,Turm = the tower,der Turm - zwei Türme !,der Turm - zzei Türme !,der wurm - zwei Türme !,der Turm - zwei Türmh !,10,1
7,Hotel = the hotel,das Hotel - zwei Hotels !,das Hotel - zwev Hotels !,das Hotel - zhei Hotels !,das Hotel - ziei Hotels !,10,1
8,Brücke = the bridge,die Brücke - zwei Brücken !,die mrücke - zwei Brücken !,die Brückd - zwei Brücken !,jie Brücke - zwei Brücken !,10,1
9,Park = the park,der Park - zwei Parks !,dnr Park - zwei Parks !,der Park - zwfi Parks !,der Pzrk - zwei Parks !,10,1
10,Markt = the market,der Markt - zwei Märkte !,wer Markt - zwei Märkte !,der Mafkt - zwei Märkte !,der Markt - zwei Merkte !,10,1
11,Bahnhof = the train station,der Bahnhof - zwei Bahnhöfe !,ber Bahnhof - zwei Bahnhöfe !,der Bahnhof - zwei Bahnhnfe !,der Bahnhzf - zwei Bahnhöfe !,10,1
12,Hafen = the port,der Hafen - zwei Häfen !,der Hafen - zwei Häfea !,der Hafen - zwei Häfon !,dpr Hafen - zwei Häfen !,10,1
13,See = the lake,der See - zwei Seen !,der See - zwei Sben !,der See - zwei Seen g,der See - zwoi Seen !,10,1
14,Fluss = the river,der Fluss - zwei Flüsse !,der Fluss - zwsi Flüsse !,der Fluss - gwei Flüsse !,der Fluss - zwei Flüsse l,10,1
15,Meer = the sea,das Meer - zwei Meere !,dos Meer - zwei Meere !,das Meer - zwji Meere !,dao Meer - zwei Meere !,10,1
16,Station = the station,die Station - zwei Stationen !,die Station - vwei Stationen !,die Station - zlei Stationen !,die Stapion - zwei Stationen !,10,1
17,Ort = the location,der Ort - zwei Orte !,der Ort - zwei Orte q,der Ort - zwei Oroe !,der Ort - cwei Orte !,10,1
18,Fahrrad = the bicycle,das Fahrrad - zwei Fahrräder !,das Fahrrad - zwei Facrräder !,das Fahrrdd - zwei Fahrräder !,das Fahrrad - zwez Fahrräder !,10,1
19,Bus = the bus,der Bus - zwei Busse !,dey Bus - zwei Busse !,der Bus - zwei Bksse !,der Bus - zwei fusse !,10,1
20,Straßenbahn = the tram,die Straßenbahn - zwei Straßenbahnen !,die Straßenbahn - zwei Straßsnbahnen !,die utraßenbahn - zwei Straßenbahnen !,die Straßenbahn - xwei Straßenbahnen !,10,1
21,Zug = the train,der Zug - zwei Züge !,dew Zug - zwei Züge !,der Zug - zwei Zügx !,der Zug - zwec Züge !,10,1
22,U-Bahn = the subway,die U-Bahn - zwei U-Bahnen !,die U-kahn - zwei U-Bahnen !,die U-Bahe - zwei U-Bahnen !,dip U-Bahn - zwei U-Bahnen !,10,1
23,S-Bahn = the regional train,die S-Bahn - zwei S-Bahnen !,die S-Bahn - zwmi S-Bahnen !,die S-Bahn - zwei S-Bahxen !,die S-Bahn - zwei S-Baheen !,10,1
24,Publikum = the audience,das Publikum !,das xublikum !,das Publixum !,das Puklikum !,10,1
25,Event = the event,der Event - zwei Events !,der Evynt - zwei Events !,der Event - zwei Erents !,der Eveyt - zwei Events !,10,1
26,Festival = the festival,das Festival - zwei Festivals !,das Festival - zwei Festivalk !,das Festival - zweb Festivals !,das gestival - zwei Festivals !,10,1
27,Ticket = the ticket,das Ticket - zwei Tickets !,das Ticket - ziei Tickets !,das Ticket - zwsi Tickets !,das Ticget - zwei Tickets !,10,1
28,Besucher = the visitor,der Besucher - zwei Besucher !,der Besucher - zwei Bezucher !,der Besucher - zwei Besgcher !,der Besujher - zwei Besucher !,10,1
29,Besucherin = the (female) visitor,die Besucherin - zwei Besucherinnen !,die Besucherin - zwei cesucherinnen !,die Besucherin - zwei Besucherinnen q,die Bejucherin - zwei Besucherinnen !,10,1
30,Gast = the guest,der Gast - zwei Gäste !,der Gast - mwei Gäste !,der Gast - zjei Gäste !,der Gavt - zwei Gäste !,10,1
31,Konzert = the concert,das Konzert - zwei Konzerte !,das Konzert - zwei Konzertf !,das Konzert - zwei wonzerte !,das Konzert - mwei Konzerte !,10,1
32,Orchester = the orchestra,das Orchester - zwei Orchester !,dus Orchester - zwei Orchester !,dan Orchester - zwei Orchester !,das Orchester - zwel Orchester !,10,1
33,Chor = the choir,der Chor - zwei Chöre !,ser Chor - zwei Chöre !,der Chor - zwei Chörf !,der Chor - zwei whöre !,10,1
34,Film = the movie,der Film - zwei Filme !,der Film - zwei Fhlme !,dez Film - zwei Filme !,der Film - zwei Films !,10,1
35,Schauspieler = the actor,der Schauspieler - zwei Schauspieler !,der kchauspieler - zwei Schauspieler !,der Schauspieler - awei Schauspieler !,der Schauspieldr - zwei Schauspieler !,10,1
36,Schauspielerin = the (female) actor,die Schauspielerin - zwei Schauspielerinnen !,die Schauspielerin - zvei Schauspielerinnen !,die Schauspielerin - zwei Schauspielerinnev !,die Schauspielerim - zwei Schauspielerinnen !,10,1
37,Star = the celebrity,der Star - zwei Stars !,der etar - zwei Stars !,dea Star - zwei Stars !,der Star - zwei Staas !,10,1
38,Regisseur = the director,der Regisseur - zwei Regisseure !,der Regissemr - zwei Regisseure !,dlr Regisseur - zwei Regisseure !,der Regisseur - zhei Regisseure !,10,1
39,Ausstellung = the exhibition,die Ausstellung - zwei Ausstellungen !,die Ausstellung - zwei Ausutellungen !,die Auostellung - zwei Ausstellungen !,die dusstellung - zwei Ausstellungen !,10,1
40,Gruppe = the group,die Gruppe - zwei Gruppen !,die Gruppe - zwei Gruppeq !,die Gruppe - zwli Gruppen !,die Gruppe - zwei Gruqpen !,10,1
41,Bild = the picture,das Bild - zwei Bilder !,das Biyd - zwei Bilder !,das Bcld - zwei Bilder !,das Bild - zwei Bslder !,10,1
42,Plakat = the poster,das Plakat - zwei Plakate !,das Pfakat - zwei Plakate !,das Plakat - zwei ilakate !,das Plakax - zwei Plakate !,10,1
