"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,abfahren = to depart,"ich fahre ab, du fährst ab, er fährt ab - wir fahren ab,  ihr fahrt ab, sie fahren ab ! Der Zug fährt ab.","ich fahre ab, du fährct ab, er fährt ab - wir fahren ab,  ihr fahrt ab, sie fahren ab ! Der Zug fährt ab.","ich fahre ab, du fährst ab, er fährt ab - wir fahren ab,  ihr fahrt ab, sie fahren ab g Der Zug fährt ab.","ich fahre ab, du fährst ab, er fährt ab - wir fahren ab,  ihr fahrt ab, ste fahren ab ! Der Zug fährt ab.",10,1
2,abgeben = to hand over,"ich gebe ab, du gibst ab, er gibt ab - wir geben ab,  ihr gebt ab, sie geben ab ! Ich gebe die Arbeit ab.","ich gebe ab, du gibst ab, hr gibt ab - wir geben ab,  ihr gebt ab, sie geben ab ! Ich gebe die Arbeit ab.","ich gebe ab, du gibst ab, er gibt ab - wih geben ab,  ihr gebt ab, sie geben ab ! Ich gebe die Arbeit ab.","ich gebe ab, du gibst ab, er gibt ab - wir geben ab,  ihr gebt ab, sie geben ab ! Ich gebe die Arseit ab.",10,1
3,abholen = to pick up,"ich hole ab, du holst ab, er holt ab - wir holen ab,  ihr holt ab, sie holen ab ! Ich hole einen Freund ab.","ich hole ab, du holst ab, er holt ab - wir holen ab,  ihr holt ab, sie holen ab ! Ich hole einen Freund abr","ich hole ab, du holst ab, er holt ab - bir holen ab,  ihr holt ab, sie holen ab ! Ich hole einen Freund ab.","iuh hole ab, du holst ab, er holt ab - wir holen ab,  ihr holt ab, sie holen ab ! Ich hole einen Freund ab.",10,1
4,anbieten = to offer,"ich biete an, du bietest an, er bietet an - wir bieten an,  ihr bietet an, sie bieten an ! Du bietest den Kuchen an.","ich biete an, du bietest an, er bietet an - wir bieten an,  ihr bietet an, sie bieten an ! Du bietest qen Kuchen an.","ich biete an, du bietest an, er bietet an - wir biethn an,  ihr bietet an, sie bieten an ! Du bietest den Kuchen an.","ich biete an, du bietest an, er bietet an - wir bieten an,  ibr bietet an, sie bieten an ! Du bietest den Kuchen an.",10,1
5,anfangen = to begin,"ich fange an, du fängst an, er fängt an - wir fangen an, ihr fangt an, sie fangen an ! Ich fange an.","ich fange yn, du fängst an, er fängt an - wir fangen an, ihr fangt an, sie fangen an ! Ich fange an.","ich fange an, du fängst an, er fängt an - wnr fangen an, ihr fangt an, sie fangen an ! Ich fange an.","ich fange an, du fängst an, er fängt an - wir fangen an, ihr fangt an, sie fangen an ! Ich fange ang",10,1
6,anklicken = to click,"ich klicke an, du klickst an, er klickt an - wir klicken an,  ihr klickt an, sie klicken an ! Er klickt den Link an.","ich klicke an, du klickst an, er klickt an - wir klicken an,  ihr klickt as, sie klicken an ! Er klickt den Link an.","ich klicke an, du klickst an, er klickt an - wik klicken an,  ihr klickt an, sie klicken an ! Er klickt den Link an.","ich klicke an, du klickst an, er klickt an - wir klicken an,  ihr klicbt an, sie klicken an ! Er klickt den Link an.",10,1
7,ankommen = to arrive,"ich komme an, du kommst an, er kommt an - wir kommen an,  ihr kommt an, sie kommen an ! Wir kommen an.","ich komme an, du kommst an, er kommt an - wir kommen an,  iar kommt an, sie kommen an ! Wir kommen an.","ich komme an, du kommst an, er kommt an - wir kobmen an,  ihr kommt an, sie kommen an ! Wir kommen an.","ich komme an, du kommst an, er kommt an - wir kommen an,  ihr kommt an, sie kommen an ! Wir kommen in.",10,1
8,"ankreuzen = to check, mark","ich kreuze an, du kreuzt an, er kreuzt an - wir kreuzen an,  ihr kreuzt an, sie kreuzen an ! Ich kreuze die Lösung an.","ich kreuze an, du kreuzt an, ec kreuzt an - wir kreuzen an,  ihr kreuzt an, sie kreuzen an ! Ich kreuze die Lösung an.","ich kreuze an, du kreuzt an, er kreuzt an - wir kreuzen an,  ihr kreuzt an, sie kreuzen an ! Ich kreuze iie Lösung an.","ich kreuze an, du kreuzt an, ez kreuzt an - wir kreuzen an,  ihr kreuzt an, sie kreuzen an ! Ich kreuze die Lösung an.",10,1
9,anmachen = to turn on,"ich mache an, du machst an, er macht an - wir machen an,  ihr macht an, sie machen an ! Er macht das Licht an.","ich mache an, du machst an, er macht an - wir macgen an,  ihr macht an, sie machen an ! Er macht das Licht an.","ich mache an, du machst an, er macht ah - wir machen an,  ihr macht an, sie machen an ! Er macht das Licht an.","ich macwe an, du machst an, er macht an - wir machen an,  ihr macht an, sie machen an ! Er macht das Licht an.",10,1
10,"anmelden = to register, enrol","ich melde an, du meldest an, er meldet an - wir melden an,  ihr meldet an, sie melden an ! Ich melde einen Freund für den Kurs an.","ich melde an, du meldest an, er meldet an - wir melden an,  ihr meldet an, sie mehden an ! Ich melde einen Freund für den Kurs an.","ihh melde an, du meldest an, er meldet an - wir melden an,  ihr meldet an, sie melden an ! Ich melde einen Freund für den Kurs an.","ich melde an, du meldest an, er meldet an - wir melden an,  ihr meldet an, sie melden an ! Ich melde eijen Freund für den Kurs an.",10,1
