beginnen (beginnt),begann,hat begonnen
bleiben (bleibt),blieb,ist geblieben
bringen (bringt),brachte,hat gebracht
denken (denkt),dachte,hat gedacht
dürfen (darf),durfte,hat gedurft
essen (isst),aß,hat gegessen
fahren (fährt),fuhr,ist/hat gefahren
fangen (fängt),fing,hat gefangen
finden (findet),fand,hat gefunden
fliegen (fliegt),flog,ist/hat geflogen
geben (gibt),gab,hat gegeben
gehen (geht),ging,ist gegangen
haben (hat),hatte,hat gehabt
heißen (heißt),hieß,hat geheißen
helfen (hilft),half,hat geholfen
kennen (kennt),kannte,hat gekannt
kommen (kommt),kam,ist gekommen
können (kann),konnte,hat gekonnt
lesen (liest),las,hat gelesen
