mögen (mag),mochte,hat gemocht
müssen (muss),musste,hat gemusst
nehmen (nimmt),nahm,hat genommen
rufen (ruft),rief,hat gerufen
schlafen (schläft),schlief,hat geschlafen
schreiben (schreibt),schrieb,hat geschrieben
schwimmen (schwimmt),schwamm,ist/hat geschwommen
sehen (sieht),sah,hat gesehen
sein (ist),war,ist gewesen
singen (singt),sang,hat gesungen
sollen (soll),sollte,hat gesollt
sprechen (spricht),sprach,hat gesprochen
stehen (steht),stand,hat gestanden
treffen (trifft),traf,hat getroffen
trinken (trinkt),trank,hat getrunken
tun (tut),tat,hat getan
wissen (weiß),wusste,hat gewusst
wollen (will),wollte,hat gewollt
