backen (bäckt),buk,hat gebacken
biegen (biegt),bog,ist/hat gebogen
bieten (bietet),bot,hat geboten
bitten (bittet),bat,hat gebeten
braten (brät),briet,hat gebraten
fallen (fällt),fiel,ist gefallen
gefallen (gefällt),gefiel,hat gefallen
gewinnen (gewinnt),gewann,hat gewonnen
laden (lädt),lud,hat geladen
laufen (läuft),lief,ist gelaufen
liegen (liegt),lag,hat gelegen
nennen (nennt),nannte,hat genannt
rennen (rennt),rannte,ist gerannt
riechen (riecht),roch,hat gerochen
schließen (schließt),schloss,hat geschlossen
sitzen (sitzt),saß,hat gesessen
steigen (steigt),stieg,ist gestiegen
sterben (stirbt),starb,ist gestorben
treiben (treibt),trieb,ist/hat getrieben
vergessen (vergisst),vergaß,hat vergessen
verlieren (verliert),verlor,hat verloren
wachsen (wächst),wuchs,ist gewachsen
waschen (wäscht),wusch,hat gewaschen
werden (wird),wurde,ist geworden
werfen (wirft),warf,hat geworfen
ziehen (zieht),zog,ist/hat gezogen
