befehlen (befiehlt),befahl,hat befohlen
beißen (beißt),biss,hat gebissen
binden (bindet),band,hat gebunden
brechen (bricht),brach,ist/hat gebrochen
brennen (brennt),brannte,hat gebrannt
empfehlen (empfiehlt),empfahl,hat empfohlen
¹erschrecken (erschrickt),erschrak,ist erschrocken
²erschrecken (erschrickt),erschreckte,hat erschrocken
fliehen (flieht),floh,ist geflohen
fließen (fließt),floss,ist geflossen
fressen (frisst),fraß,hat gefressen
frieren (friert),fror,hat/ist gefroren
gelingen (gelingt),gelang,ist gelungen
gelten (gilt),galt,hat gegolten
genießen (genießt),genoss,hat genossen
geschehen (geschieht),geschah,ist geschehen
gießen (gießt),goss,hat gegossen
gleichen (gleicht),glich,hat geglichen
graben (gräbt),grub,hat gegraben
greifen (greift),griff,hat gegriffen
halten (hält),hielt,hat gehalten
¹hängen (hängt),hing,hat gehangen
²hängen (hängt),hängte,hat gehängt
heben (hebt),hob,hat gehoben
klingen (klingt),klang,hat geklungen
lassen (lässt),ließ,hat gelassen
leiden (leidet),litt,hat gelitten
leihen (leiht),lieh,hat geliehen
lügen (lügt),log,hat gelogen
meiden (meidet),mied,hat gemieden
messen (misst),maß,hat gemessen
raten (rät),riet,hat geraten
reiben (reibt),rieb,hat gerieben
reiten (reitet),ritt,ist/hat geritten
schaffen (schafft),schaffte,hat geschafft
schaffen (schafft),schuf,hat geschaffen
scheiden (scheidet),schied,hat/ist geschieden
scheinen (scheint),schien,hat geschienen
scheißen (scheißt),schiss,hat geschissen
schieben (schiebt),schob,hat geschoben
schießen (schießt),schoss,hat geschossen
schlagen (schlägt),schlug,hat geschlagen
schmeißen (schmeißt),schmiss,hat geschmissen
schneiden (schneidet),schnitt,hat geschnitten
schreien (schreit),schrie,hat geschrien
senden (sendet),sendete,hat gesendet
senden (sendet),sandte,hat gesandt
sinken (sinkt),sank,ist gesunken
springen (springt),sprang,ist gesprungen
stehlen (stiehlt),stahl,hat gestohlen
stinken (stinkt),stank,hat gestunken
streiten (streitet),stritt,hat gestritten
tragen (trägt),trug,hat getragen
treten (tritt),trat,hat getreten
trügen (trügt),trog,hat getrogen
verzeihen (verzeiht),verzieh,hat verziehen
weisen (weist),wies,hat gewiesen
werben (wirbt),warb,hat geworben
wiegen (wiegt),wog,hat gewogen
zwingen (zwingt),zwang,hat gezwungen
