"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,April 2025 = April 2025,April 2025! Es ist April 2025.,Apriz 2025! Es ist April 2025.,April 2025! gs ist April 2025.,April g025! Es ist April 2025.,10,1
2,Januar 2025 = January 2025,Januar 2025 ! Es ist Januar 2025.,Januar 2025 ! Es ist Januar 2025q,Januar 2025 ! Es ist Januar 202i.,Januar 2025 ! Es ist Januar 20t5.,10,1
3,Mai 1980 = May 1980,Mai 1980! Es ist Mai 1980.,Mai 1980! Es ist Mki 1980.,Mai 1980! Es ist Mai a980.,Mai 1980! Es ist Mai g980.,10,1
4,Juni 1980 = June 1980,Juni 1980! Es ist Juni 1980.,Juni 1980! Es ist Juni 198l.,Juni 19r0! Es ist Juni 1980.,Juni 1c80! Es ist Juni 1980.,10,1
5,Juli 1980 = July 1980,Juli 1980! Es ist Juli 1980.,Juli 1980! Es imt Juli 1980.,Juli 19k0! Es ist Juli 1980.,Juli 1980! as ist Juli 1980.,10,1
6,August 1983 = August 1983,August 1983! Es ist August 1983.,nugust 1983! Es ist August 1983.,Aunust 1983! Es ist August 1983.,August 1983! Es ist August 198n.,10,1
7,September 1997 = September 1997,September 1997! Es ist September 1997.,September 1997! Es ist Septembem 1997.,September 1997! Eu ist September 1997.,September 1997! Es ist Sepcember 1997.,10,1
8,Oktober 1999 = October 1999,Oktober 1999! Es ist Oktober 1999.,Oktober 1999! Es ist mktober 1999.,Oatober 1999! Es ist Oktober 1999.,Oktober 1999! Es iss Oktober 1999.,10,1
9,November 1991 = November 1991,November 1991! Ich wohne hier seit November 1991.,November 1991! Ich wohne hier seit Novembek 1991.,November 1991! Ieh wohne hier seit November 1991.,November 1991! Ich wohne hier seit Nosember 1991.,10,1
10,Dezember 1990 = December 1990,Dezember 1990! Ich arbeite hier seit Dezember 1990.,Dezepber 1990! Ich arbeite hier seit Dezember 1990.,Dezember 1990! Icf arbeite hier seit Dezember 1990.,Dezember 1990! Ich urbeite hier seit Dezember 1990.,10,1
11,Januar 2025 = January 2025,Januar 2025 ! Ich lebe hier seit Januar 2025.,Januar 2025 ! Ich lebe hner seit Januar 2025.,Januar 20y5 ! Ich lebe hier seit Januar 2025.,Januxr 2025 ! Ich lebe hier seit Januar 2025.,10,1
12,Januar 2023 = January 2023,Januar 2023! Du wohnst hier seit Januar 2023.,panuar 2023! Du wohnst hier seit Januar 2023.,Januar 2023! Du wohnst hier seit Javuar 2023.,Januar 2023! Du wohnst hiec seit Januar 2023.,10,1
13,Februar 2019 = February 2019,Februar 2019! Er ist hier seit Februar 2019.,Februar 2019t Er ist hier seit Februar 2019.,Februar 2019! Er ist hier seit Februai 2019.,Februar 2019! Er ist jier seit Februar 2019.,10,1
14,März 2018 = March 2018,März 2018! Wir sind hier seit März 2018.,März 2018! Wir sind hyer seit März 2018.,März 2018! Wir sind hier seit März 201c.,März 2018! Wir sind hier seib März 2018.,10,1
15,April 2009 = April 2009,April 2009! Ihr seid hier seit April 2009.,April s009! Ihr seid hier seit April 2009.,April 2009! Iir seid hier seit April 2009.,April 2009f Ihr seid hier seit April 2009.,10,1
16,Mai 2001 = May 2001,Mai 2001! Ihr lebt hier seit Mai 2001.,Mai 2001! Ihr leot hier seit Mai 2001.,Mai 2001! Ihr lebt hier seit Mai 200s.,Mai 2001! Ihr lect hier seit Mai 2001.,10,1
17,Juni 2004 = June 2004,Juni 2004! Er lebt hier seit Juni 2004.,Jtni 2004! Er lebt hier seit Juni 2004.,Juni 2004! Er lebt hiem seit Juni 2004.,Juni 2004! Er lebt hmer seit Juni 2004.,10,1
18,Juli 2012 = July 2012,Juli 2012! Du studierst hier seit Juli 2012.,Juli 2012! Du studierst hier sett Juli 2012.,Juli 2012! Du studierst hier seit Juli 20s2.,Juli 2012! lu studierst hier seit Juli 2012.,10,1
19,August 2011 = August 2011,August 2011! Wir leben hier seit August 2011.,August 2011! Wir lfben hier seit August 2011.,Auaust 2011! Wir leben hier seit August 2011.,Angust 2011! Wir leben hier seit August 2011.,10,1
20,September 2010 = September 2010,September 2010! Er arbeitet dort seit September 2010.,Septembeb 2010! Er arbeitet dort seit September 2010.,Septembrr 2010! Er arbeitet dort seit September 2010.,Septemyer 2010! Er arbeitet dort seit September 2010.,10,1
21,Oktober 2019 = October 2019,Oktober 2019! Ich wohne dort seit Oktober 2019.,Oktober 2019! Ich wohne domt seit Oktober 2019.,Oktober 2019! Ich wohne dort seit Oktober 2019o,Oktober 2019! Ich wohne dart seit Oktober 2019.,10,1
22,November 2011 = November 2011,November 2011! Ich bin dort seit November 2011.,November 2011! Ich bin dort seit Novembjr 2011.,November 2011! Ich bin dort seit November 2j11.,Novembor 2011! Ich bin dort seit November 2011.,10,1
23,Dezember 2012 = December 2012,Dezember 2012! Du bist dort seit Dezember 2012.,Dezember 2012! Du bist dort sett Dezember 2012.,Dezember 2x12! Du bist dort seit Dezember 2012.,Dezember r012! Du bist dort seit Dezember 2012.,10,1
24,Januar 2025 = January 2025,Januar 2025! Es ist dort seit Januar 2025.,Januar 2025! Eb ist dort seit Januar 2025.,Januar 2025! Es ist dort seit Januar 2f25.,Januar 2025! Es ist dort seit Januar v025.,10,1
25,Februar 2023 = February 2023,Februar 2023! Wohnst du hier seit Februar 2023?,Februar 2023! Wohngt du hier seit Februar 2023?,Februar 2023! Wohnst du hier seit Februar 20j3?,Februar 2023! Wehnst du hier seit Februar 2023?,10,1
26,März 1983 = March 1983,März 1983! Wohnst du hier seit März 1983?,März 1983! Wohnsl du hier seit März 1983?,März 1983! Wohnst du hier seif März 1983?,März 198u! Wohnst du hier seit März 1983?,10,1
27,April 1983 = April 1983,April 1983! Wohnt er hier seit April 1983?,April 1983! Wohnv er hier seit April 1983?,April p983! Wohnt er hier seit April 1983?,April 1983g Wohnt er hier seit April 1983?,10,1
