"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,01.05.,der erste Mai = der erste Fünfte,der April Mai =,der Dezember Mai =,der Februar Mai =,10,1
2,07.03.,der siebente März = der siebente Dritte,der Dezember März =,der Juni März =,der Februar März =,10,1
3,01.03.,der erste März = der erste Dritte,der achtzehnte März =,der letzte März =,der neunundzwanzigste März =,10,1
4,02.04.,der zweite April = der zweite Vierte,der dreiundzwanzigste April =,der sechzehnte April =,der neunundzwanzigste April =,10,1
5,11.04.,der elfte April = der elfte Vierte,der Juni April =,der März April =,der August April =,10,1
6,03.07.,der dritte Juli = der dritte Siebente,der September Juli =,der November Juli =,der Juni Juli =,10,1
7,01.05.2025,der erste Mai 2025 = der erste Fünfte 2025,der achtundzwanzigste Mai 2025,der vierte Mai 2025,der einundzwanzigste Mai 2025,10,1
8,07.03.2025,der siebente März 2025 = der siebente Dritte 2025,der neunundzwanzigste März 2025,der zweiundzwanzigste März 2025,der achtundzwanzigste März 2025,10,1
9,01.03.2025,der erste März 2025 = der erste Dritte 2025,der fünfundzwanzigste März 2025,der elfte März 2025,der zweiundzwanzigste März 2025,10,1
10,02.04.2026,der zweite April 2026 = der zweite Vierte 2026,der Juli April 2026,der Dezember April 2026,der Mai April 2026,10,1
11,03.05.2026,der dritte Mai 2026 = der dritte Fünfte 2026,der Dezember Mai 2026,der Februar Mai 2026,der September Mai 2026,10,1
12,02.08.2025,der zweite August 2025 = der zweite Achte 2025,der zweiundzwanzigste August 2025,der letzte August 2025,der sechste August 2025,10,1
13,03.05.,der dritte Mai = der dritte Fünfte,der Dezember Mai =,der April Mai =,der August Mai =,10,1
14,03.10.,der dritte Oktober = der dritte Zehnte,der dreiundzwanzigste Oktober =,der achtzehnte Oktober =,der zweiundzwanzigste Oktober =,10,1
15,03.11.,der dritte November = der dritte Neunte,der neunundzwanzigste November =,der dreiundzwanzigste November =,der zwanzigste November =,10,1
16,07.12.,der siebente Dezember = der siebente Zwölfte,der Oktober Dezember =,der September Dezember =,der August Dezember =,10,1
17,01.10.,der erste Oktober = der erste Zehnte,der sechste Oktober =,der zwanzigste Oktober =,der fünfundzwanzigste Oktober =,10,1
18,02.11.,der zweite November = der zweite Elfte,der dritte November =,der achtzehnte November =,der siebenzehnte November =,10,1
19,11.11.,der elfte November = der elfte Elfte,der Oktober November =,der Juni November =,der Februar November =,10,1
20,02.09.,der zweite September = der zweite Neunte,der achtzehnte September =,der achte September =,der dreißigste September =,10,1
21,01.05.2035,der erste Mai 2035 = der erste Fünfte 2035,der November Mai 2035,der Dezember Mai 2035,der September Mai 2035,10,1
22,07.03.2036,der siebente März 2036 = der siebente Dritte 2036,der sechste März 2036,der dreizehnte März 2036,der zwanzigste März 2036,10,1
23,01.03.2035,der erste März 2035 = der erste Dritte 2035,der August März 2035,der Mai März 2035,der Februar März 2035,10,1
24,02.04.2037,der zweite April 2037 = der zweite Vierte 2037,der erste April 2037,der zehnte April 2037,der sechste April 2037,10,1
25,03.05.2035,der dritte Mai 2035 = der dritte Fünfte 2035,der Juni Mai 2035,der August Mai 2035,der Juli Mai 2035,10,1
