"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,Bulgarien = Bulgaria,Ich komme aus Bulgarien.,Ich komme aus Bulggrien.,Ich komme bus Bulgarien.,Ich komme aus Bulgarion.,10,1
2,USA = USA,Ich komme aus den USA.,Ich kbmme aus den USA.,Ich komme aus del USA.,Ich komme aus den USp.,10,1
3,Vereinigte Staaten von Amerika = United States of America,Ich spreche Englisch.,Inh spreche Englisch.,Ich spheche Englisch.,Icp spreche Englisch.,10,1
4,Ungarn = Hungaria,Du sprichst Ungarisch.,Du sprichst Ungarischm,Du sprichst Ungarbsch.,Du spqichst Ungarisch.,10,1
5,Italien = Italy,Du sprichst Italienisch.,Du sprichst Italmenisch.,Du iprichst Italienisch.,Du sprichst Itapienisch.,10,1
6,Spanien = Spain,Du kommst aus Spanien.,Du kommst aus Spanieng,Du kommst aup Spanien.,Du rommst aus Spanien.,10,1
7,Japan = Japan,Er kommt aus Japan.,Er kommt aus Japaq.,Es kommt aus Japan.,Er kommt aug Japan.,10,1
8,Russland = Russia,Er spricht Russisch.,vr spricht Russisch.,Er spricht dussisch.,Er dpricht Russisch.,10,1
9,Türkei = Turkey,Wir sprechen Türkisch.,Wir sprechen Türkische,Wir sprechqn Türkisch.,Wir sprechen aürkisch.,10,1
10,Schweiz = Switzerland,Wir sprechen Deutsch.,Wir spfechen Deutsch.,Wir spkechen Deutsch.,Wcr sprechen Deutsch.,10,1
11,Ukraine = Ukraine,Wir sprechen Ukrainisch.,Wis sprechen Ukrainisch.,Wer sprechen Ukrainisch.,Wir spreohen Ukrainisch.,10,1
12,Spanien = Spain,Wir sprechen Spanisch.,Wir sprechen Spanisci.,wir sprechen Spanisch.,War sprechen Spanisch.,10,1
13,Österreich = Austria,Wir sprechen Deutsch.,Wir sprechen Deutschz,Wir sprechen Deutschf,Wik sprechen Deutsch.,10,1
14,Ägypten = Egypt,Ich bin aus Ägypten.,Ich biz aus Ägypten.,Ich bin auz Ägypten.,Ich bin zus Ägypten.,10,1
15,Kolumbien = Colombia,Ich spreche Spanisch.,Ich spreche Spanisih.,Ich spreche Spanirch.,Ich sprexhe Spanisch.,10,1
