"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,April 2025 = April 2025,April 2025! Es ist April 2025.,April 2025j Es ist April 2025.,April 2025! Es iss April 2025.,April 2025! Es ist April 20u5.,10,1
2,Januar 2025 = January 2025,Januar 2025 ! Es ist Januar 2025.,Jaruar 2025 ! Es ist Januar 2025.,Januar 2025 ! Es ist Januar 202g.,Jaguar 2025 ! Es ist Januar 2025.,10,1
3,Mai 1980 = May 1980,Mai 1980! Es ist Mai 1980.,Mai 1980! Es ist Mui 1980.,Mai 1980! Es ist Mai 198z.,Mai 1980! Es isl Mai 1980.,10,1
4,Juni 1980 = June 1980,Juni 1980! Es ist Juni 1980.,Juni 1980! Es ist Jyni 1980.,Juni 1980! Es ist Juni 19m0.,Juni 1980! Es ist Juni 19w0.,10,1
5,Juli 1980 = July 1980,Juli 1980! Es ist Juli 1980.,Juli 1980! Es ilt Juli 1980.,Jkli 1980! Es ist Juli 1980.,Juli 1980! Es isx Juli 1980.,10,1
6,August 1983 = August 1983,August 1983! Es ist August 1983.,Auguct 1983! Es ist August 1983.,August 1983! Es wst August 1983.,August 1983! Es ist August 1983d,10,1
7,September 1997 = September 1997,September 1997! Es ist September 1997.,September 1997! Es isu September 1997.,September 1997! Es ist Septemker 1997.,September 199t! Es ist September 1997.,10,1
8,Oktober 1999 = October 1999,Oktober 1999! Es  Oktober 1999.,Oqtober 1999! Es  Oktober 1999.,Oktober 1s99! Es  Oktober 1999.,Oktober 1999! ys  Oktober 1999.,10,1
9,November 1991 = November 1991,November 1991! Ich wohne hier seit November 1991.,November 1991! Ich wohne hier seit Novembpr 1991.,November 19j1! Ich wohne hier seit November 1991.,November 1991! Ich wohne hior seit November 1991.,10,1
10,Dezember 1990 = December 1990,Dezember 1990! Ich arbeite hier seit Dezember 1990.,Dezember 1990! ech arbeite hier seit Dezember 1990.,Dezember 1990! Ich arbeite hzer seit Dezember 1990.,Dezember 1990! Ich arbeite hier seit Depember 1990.,10,1
11,Januar 2025 = January 2025,Januar 2025 ! Ich lebe hier seit Januar 2025.,Januar f025 ! Ich lebe hier seit Januar 2025.,xanuar 2025 ! Ich lebe hier seit Januar 2025.,Jaguar 2025 ! Ich lebe hier seit Januar 2025.,10,1
12,Januar 2023 = January 2023,Januar 2023! Du wohnst hier seit Januar 2023.,Januar 2023! Du wohnst hier seit Jamuar 2023.,Januar 2023! Du wohnst hier sgit Januar 2023.,Januar 2023! Du wohnst hier seit Januur 2023.,10,1
13,Februar 2019 = February 2019,Februar 2019! Er ist hier seit Februar 2019.,Februar 2019! Er ist hier seit Fjbruar 2019.,Februar 2019! Er ist hier seit Februar w019.,Ftbruar 2019! Er ist hier seit Februar 2019.,10,1
14,März 2018 = March 2018,März 2018! Wir sind hier seit März 2018.,März 2018! Wir sind hher seit März 2018.,März 2018! Wir sind hier seit März 201f.,März 2018! Wir sdnd hier seit März 2018.,10,1
15,April 2009 = April 2009,April 2009! Ihr seid hier seit April 2009.,April 2009! Ihr seid hjer seit April 2009.,April 2009! Ihr seid hier seit Aprii 2009.,April 2009! Ihr seid hier seit Avril 2009.,10,1
16,Mai 2001 = May 2001,Mai 2001! Ihr lebt hier seit Mai 2001.,Mai 2001! Ihr ltbt hier seit Mai 2001.,cai 2001! Ihr lebt hier seit Mai 2001.,Mai 2001! Ihr lebt hiur seit Mai 2001.,10,1
17,Juni 2004 = June 2004,Juni 2004! Er lebt hier seit Juni 2004.,Junw 2004! Er lebt hier seit Juni 2004.,Juni b004! Er lebt hier seit Juni 2004.,Juni 2004! Er lebt hier seit Juni 20p4.,10,1
18,Juli 2012 = July 2012,Juli 2012! Du studierst hier seit Juli 2012.,Juli 2012! Du studierst hirr seit Juli 2012.,Juli 2012! Du studierst hinr seit Juli 2012.,Juli 2012! Du studierst hier ieit Juli 2012.,10,1
19,August 2011 = August 2011,August 2011! Wir leben hier seit August 2011.,August 2011! Wir leben lier seit August 2011.,August 2011! Wir lebjn hier seit August 2011.,August 2011! Wir seben hier seit August 2011.,10,1
20,September 2010 = September 2010,September 2010! Er arbeitet dort seit September 2010.,September 2010! Er arbeitet jort seit September 2010.,September 2010! Er arbeitet dort seit Sepoember 2010.,September 2010! Er arbeztet dort seit September 2010.,10,1
