"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,"(können, spielen) - ich = I am able to play.",Ich kann spielen.,Ich kann skielen.,vch kann spielen.,Ich kann lpielen.,10,1
2,"(können, spielen) - du = You are able to play.",Du kannst spielen.,Dg kannst spielen.,Du kannst spielei.,Du kannst spielsn.,10,1
3,"(können, spielen) - er = He is able to play.",Er kann spielen.,Er kann spirlen.,Er kann spialen.,Er kann sfielen.,10,1
4,"(können, spielen) - wir = We are able to play.",Wir können spielen.,Wir könnjn spielen.,Wir können spieten.,Wir können spjelen.,10,1
5,"(können, spielen) - ihr = You are able to play.",Ihr könnt spielen.,Ihr könnt spielenp,Ihr könnt hpielen.,Ihr köfnt spielen.,10,1
6,"(können, spielen) - sie (plur.) = They are able to play.",Sie können spielen.,Sie können spiehen.,Sie könjen spielen.,Sie können ipielen.,10,1
7,"(sollen, lernen) - ich = I am supposed to learn.",Ich soll lernen.,Ich holl lernen.,Ich soll leruen.,Ich smll lernen.,10,1
8,"(sollen, lernen) - du = You are supposed to learn.",Du sollst lernen.,Du sollst lernenn,Du sollst lerneg.,Du sollst lrrnen.,10,1
9,"(sollen, lernen) - er = He is supposed to learn.",Er soll lernen.,nr soll lernen.,or soll lernen.,Er boll lernen.,10,1
10,"(sollen, lernen) - wir = We are supposed to learn.",Wir sollen lernen.,War sollen lernen.,Wir sollen lernenm,Wir sollen rernen.,10,1
11,"(sollen, lernen) - ihr = You are supposed to learn.",Ihr sollt lernen.,Ihr sfllt lernen.,Ihr sollt oernen.,Ihr sollt lprnen.,10,1
12,"(sollen, lernen) - sie (plur.) = They are supposed to learn.",Sie sollen lernen.,Sie sollzn lernen.,lie sollen lernen.,Sie sollen lernenv,10,1
13,"(dürfen, sehen) - ich - Film (unbest.) = I am allowed to see a movie.",Ich darf einen Film sehen.,Ich darr einen Film sehen.,Ich darf einen Ficm sehen.,Ich darf einen Film seheq.,10,1
14,"(dürfen, sehen) - ich - Film (best.) = I am allowed to see the movie.",Ich darf den Film sehen.,Ich darf den Film sthen.,Ich dalf den Film sehen.,Ich dzrf den Film sehen.,10,1
15,"(dürfen, sehen) - ich - Film (poss. 1st pers. sing.) = I am allowed to see my movie.",Ich darf meinen Film sehen.,Ich darf meinen Film sehenz,Ich darf meioen Film sehen.,Ich warf meinen Film sehen.,10,1
16,"(dürfen, sehen) - ich - Film (poss. 2nd pers. sing.) = I am allowed to see your movie.",Ich darf deinen Film sehen.,Ich darf deijen Film sehen.,Icm darf deinen Film sehen.,Ich dkrf deinen Film sehen.,10,1
17,"(dürfen, sehen) - ich - Film (poss. 3rd pers. sing. M) = I am allowed to see his movie.",Ich darf seinen Film sehen.,Ick darf seinen Film sehen.,Ich darf seinen Film behen.,Ich daxf seinen Film sehen.,10,1
18,"(dürfen, sehen) - ich - Film (poss. 3rd pers. sing. F) = I am allowed to see her movie.",Ich darf ihren Film sehen.,Ich dgrf ihren Film sehen.,Ich darf ihnen Film sehen.,Ich darf icren Film sehen.,10,1
19,"(dürfen, sehen) - ich - Film (poss. 3rd pers. sing. N) = I am allowed to see its movie.",Ich darf seinen Film sehen.,Ich darf seisen Film sehen.,Ich darf seined Film sehen.,Ich darf sejnen Film sehen.,10,1
20,"(dürfen, sehen) - ich - Film (poss. 1st pers. plur.) = I am allowed to see our movie.",Ich darf unseren Film sehen.,Ich darf unseren Film sehun.,lch darf unseren Film sehen.,Ich darf unsexen Film sehen.,10,1
21,"(dürfen, sehen) - ich - Film (poss. 2nd pers. plur.) = I am allowed to see your movie.",Ich darf euren Film sehen.,Icq darf euren Film sehen.,Ich darf emren Film sehen.,Ich darf euren Fjlm sehen.,10,1
22,"(dürfen, sehen) - ich - Film (poss. 3rd pers. plur.) = I am allowed to see your movie.",Ich darf ihren Film sehen.,Ich dawf ihren Film sehen.,Ich darf ihren Filk sehen.,Ich darf ihren Film sehenw,10,1
23,"(dürfen, sehen) - du - Film (unbest.) = You are allowed to see a movie.",Du darfst einen Film sehen.,Du darfst einrn Film sehen.,Du darfst einen Film senen.,Du darfst einen Film sehon.,10,1
24,"(dürfen, sehen) - du - Film (best.) = You are allowed to see the movie.",Du darfst den Film sehen.,Du dzrfst den Film sehen.,Du darfsi den Film sehen.,Du darfst den kilm sehen.,10,1
25,"(dürfen, sehen) - er - Film (unbest.) = He is allowed to see a movie.",Er darf einen Film sehen.,dr darf einen Film sehen.,Er darf einen Film sehex.,yr darf einen Film sehen.,10,1
26,"(dürfen, sehen) - er - Film (best.) = He is allowed to see the movie.",Er darf den Film sehen.,Er darf des Film sehen.,qr darf den Film sehen.,Eh darf den Film sehen.,10,1
27,"(dürfen, sehen) - wir - Film (unbest.) = We are allowed to see a movie.",Wir dürfen einen Film sehen.,Wir dürken einen Film sehen.,Wir dorfen einen Film sehen.,Wir dürfen einec Film sehen.,10,1
28,"(dürfen, sehen) - wir - Film (best.) = We are allowed to see the movie.",Wir dürfen den Film sehen.,Wir dürfen jen Film sehen.,Wir hürfen den Film sehen.,Wir dürfen den Fylm sehen.,10,1
29,"(dürfen, sehen) - ihr - Film (unbest.) = You are allowed to see a movie.",Ihr dürft einen Film sehen.,Ihr dürdt einen Film sehen.,Ihr dürft einen zilm sehen.,Ihr dürft einen Film sepen.,10,1
30,"(dürfen, sehen) - ihr - Film (best.) = You are allowed to see the movie.",Ihr dürft den Film sehen.,Ihr dürwt den Film sehen.,Ihu dürft den Film sehen.,Ihr dürft den Film sehjn.,10,1
31,"(dürfen, sehen) - sie (plur.) - Film (unbest.) = They are allowed to see a movie.",Sie dürfen einen Film sehen.,Sie dürfen einen jilm sehen.,Sie dbrfen einen Film sehen.,Sie dürfen einkn Film sehen.,10,1
32,"(dürfen, sehen) - sie (plur.) - Film (best.) = They are allowed to see the movie.",Sie dürfen den Film sehen.,Sie dürfen den Film sehee.,Sie dürfen dez Film sehen.,Sie düefen den Film sehen.,10,1
33,"(möchten, lesen) - ich - Text (unbest.) = I want to read a text.",Ich möchte einen Text lesen.,Ich möchte eiien Text lesen.,ech möchte einen Text lesen.,sch möchte einen Text lesen.,10,1
34,"(möchten, lesen) - ich - Text (best.) = I want to read the text.",Ich möchte den Text lesen.,Ich möchte den Teyt lesen.,Ich möchte den Texq lesen.,Ich möchte den Tvxt lesen.,10,1
35,"(möchten, lesen) - du - Text (unbest.) = You want to read a text.",Du möchtest einen Text lesen.,Du möchtest einen Text qesen.,Du möchtesq einen Text lesen.,Du möchteat einen Text lesen.,10,1
36,"(möchten, lesen) - du - Text (best.) = You want to read the text.",Du möchtest den Text lesen.,Du möchtest den Teft lesen.,Du möchtest den Text lesenw,Du oöchtest den Text lesen.,10,1
37,"(möchten, lesen) - er - Text (unbest.) = He wants to read a text.",Er möchte einen Text lesen.,Er möchte einen Tpxt lesen.,Er möyhte einen Text lesen.,Er möchte elnen Text lesen.,10,1
38,"(möchten, lesen) - er - Text (best.) = He wants to read the text.",Er möchte den Text lesen.,Er möccte den Text lesen.,Er möchte dev Text lesen.,Er möchte den text lesen.,10,1
39,"(möchten, lesen) - wir - Text (unbest.) = We want to read a text.",Wir möchten einen Text lesen.,Wir möyhten einen Text lesen.,Wir möchten einen Text leseb.,Wir vöchten einen Text lesen.,10,1
40,"(möchten, lesen) - wir - Text (best.) = We want to read the text.",Wir möchten den Text lesen.,Wir xöchten den Text lesen.,Wir möchten uen Text lesen.,Wir möchten den Text losen.,10,1
41,"(möchten, lesen) - ihr - Text (unbest.) = You want to read a text.",Ihr möchtet einen Text lesen.,Igr möchtet einen Text lesen.,Ihr möchtet einen Text lesgn.,Ihr möchtet eiien Text lesen.,10,1
42,"(möchten, lesen) - ihr - Text (best.) = You want to read the text.",Ihr möchtet den Text lesen.,Ihr söchtet den Text lesen.,Ihr möchtet den gext lesen.,Ihr möchtet den Text wesen.,10,1
43,"(möchten, lesen) - sie (plur.) - Text (unbest.) = They want to read a text.",Sie möchten einen Text lesen.,Sie möchten einen Text lesyn.,Sie aöchten einen Text lesen.,Sie möchten einen aext lesen.,10,1
44,"(möchten, lesen) - sie (plur.) - Text (best.) = They want to read the text.",Sie möchten den Text lesen.,Sie möcxten den Text lesen.,Sie möchten den Text hesen.,Sie möchten den Text lesenw,10,1
45,"(wollen, lesen) - ich - Text (unbest.) = I want to read a text.",Ich will einen Text lesen.,Ich will einen Thxt lesen.,Iph will einen Text lesen.,Ich will einen Text lesxn.,10,1
46,"(wollen, lesen) - ich - Text (best.) = I want to read the text.",Ich will den Text lesen.,Ich wilp den Text lesen.,Ich will den Text lesenn,Ich will den Text oesen.,10,1
47,"(wollen, lesen) - du - Text (unbest.) = You want to read a text.",Du willst einen Text lesen.,Du willst einen Texk lesen.,Du willst einen Text leseny,Du willst einen cext lesen.,10,1
48,"(wollen, lesen) - du - Text (best.) = You want to read the text.",Du willst den Text lesen.,Du wivlst den Text lesen.,Du qillst den Text lesen.,zu willst den Text lesen.,10,1
49,"(wollen, lesen) - er - Text (unbest.) = He wants to read a text.",Er will einen Text lesen.,Er will einen Text lesei.,Er will einen Texl lesen.,Er will einen Text lesew.,10,1
50,"(wollen, lesen) - er - Text (best.) = He wants to read the text.",Er will den Text lesen.,Er will den Text leeen.,lr will den Text lesen.,Er wihl den Text lesen.,10,1
51,"(wollen, lesen) - wir - Text (unbest.) = We want to read a text.",Wir wollen einen Text lesen.,Wir wollen einen Tcxt lesen.,Wir wollhn einen Text lesen.,Wir wollen einen Texk lesen.,10,1
52,"(wollen, lesen) - wir - Text (best.) = We want to read the text.",Wir wollen den Text lesen.,Wir wollen den rext lesen.,Wir wollen den Tevt lesen.,Wir wollen den Text lesey.,10,1
53,"(wollen, lesen) - ihr - Text (unbest.) = You want to read a text.",Ihr wollt einen Text lesen.,Ihr hollt einen Text lesen.,dhr wollt einen Text lesen.,Ihr wollt einen Tedt lesen.,10,1
54,"(wollen, lesen) - ihr - Text (best.) = You want to read the text.",Ihr wollt den Text lesen.,Ihr wollt dln Text lesen.,Ihr wollt dez Text lesen.,Ihr wollt den Text tesen.,10,1
55,"(wollen, lesen) - sie (plur.) - Text (unbest.) = They want to read a text.",Sie wollen einen Text lesen.,Sie wollen egnen Text lesen.,Sae wollen einen Text lesen.,Sie wollen einsn Text lesen.,10,1
56,"(wollen, lesen) - sie (plur.) - Text (best.) = They want to read the text.",Sie wollen den Text lesen.,Sie wollen den fext lesen.,Sie xollen den Text lesen.,Sie wollen der Text lesen.,10,1
57,"(können, sehen) - ich - Film (unbest.) = I am able to see a movie.",Ich kann einen Film sehen.,Ich kann einen Film sehhn.,Ich kant einen Film sehen.,Ich kann einen Film sexen.,10,1
58,"(können, sehen) - ich - Film (best.) = I am able to see the movie.",Ich kann den Film sehen.,Igh kann den Film sehen.,Ich kann den film sehen.,Ich kunn den Film sehen.,10,1
59,"(können, sehen) - du - Film (unbest.) = You are able to see a movie.",Du kannst einen Film sehen.,Du kanfst einen Film sehen.,Du kannst einen Film sjhen.,Du klnnst einen Film sehen.,10,1
60,"(können, sehen) - du - Film (best.) = You are able to see the movie.",Du kannst den Film sehen.,Du kannst ven Film sehen.,Du kannst den Film seeen.,Du kannst den pilm sehen.,10,1
61,"(können, sehen) - er - Film (unbest.) = He is able to see a movie.",Er kann einen Film sehen.,Er kaln einen Film sehen.,Er kann eijen Film sehen.,Er kang einen Film sehen.,10,1
62,"(können, sehen) - er - Film (best.) = He is able to see the movie.",Er kann den Film sehen.,Er kann den Film seren.,Er kann dyn Film sehen.,Er kann ren Film sehen.,10,1
63,"(können, sehen) - wir - Film (unbest.) = We are able to see a movie.",Wir können einen Film sehen.,Wir könnet einen Film sehen.,Wir kannen einen Film sehen.,Wir iönnen einen Film sehen.,10,1
64,"(können, sehen) - wir - Film (best.) = We are able to see the movie.",Wir können den Film sehen.,Wir könden den Film sehen.,Wir können den Film sehea.,Wir können den Fqlm sehen.,10,1
65,"(können, sehen) - ihr - Film (unbest.) = You are able to see a movie.",Ihr könnt einen Film sehen.,Ihr könnt einew Film sehen.,Ihr könnt einen Fism sehen.,Ihx könnt einen Film sehen.,10,1
66,"(können, sehen) - ihr - Film (best.) = You are able to see the movie.",Ihr könnt den Film sehen.,Ihr könnt den Filk sehen.,Ihr könnt ven Film sehen.,Ihr könnt den Fily sehen.,10,1
67,"(können, sehen) - sie (plur.) - Film (unbest.) = They are able to see a movie.",Sie können einen Film sehen.,Sie können einen Filt sehen.,Sie können einen Film vehen.,Sie können einen lilm sehen.,10,1
68,"(können, sehen) - sie (plur.) - Film (best.) = They are able to see the movie.",Sie können den Film sehen.,Sie können den Film seeen.,Sie können den Filg sehen.,Siu können den Film sehen.,10,1
