"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,Ich habe einen Freund.                   ___ Freund       ist in Japan.,Mein Freund ist in Japan.,Euer Freund ist in Japan.,Deine Freund ist in Japan.,Unser Freund ist in Japan.,10,1
2,Du hast einen Freund.                    ___ Freund       ist intelligent.,Dein Freund ist intelligent.,Ihr Freund ist intelligent.,Unser Freund ist intelligent.,Mein Freund ist intelligent.,10,1
3,Er hat einen Freund.                     ___ Freund       ist bekannt.,Sein Freund ist bekannt.,Euer Freund ist bekannt.,Mein Freund ist bekannt.,Ihre Freund ist bekannt.,10,1
4,Sie hat einen Freund.                    ___ Freund       ist in Vietnam.,Ihr Freund ist in Vietnam.,Euer Freund ist in Vietnam.,Eure Freund ist in Vietnam.,Deine Freund ist in Vietnam.,10,1
5,Ich habe eine Freundin.                  ___ Freundin     ist in Argentinien.,Meine Freundin ist in Argentinien.,Mein Freundin ist in Argentinien.,Unser Freundin ist in Argentinien.,Ihre Freundin ist in Argentinien.,10,1
6,Ich habe Freunde.                        ___ Freunde      heißen Peter und Klaus.,Meine Freunde heißen Peter und Klaus.,Sein Freunde heißen Peter und Klaus.,Seine Freunde heißen Peter und Klaus.,Mein Freunde heißen Peter und Klaus.,10,1
7,Ich habe eine Schwester.                 ___ Schwester    heißt Susi.,Meine Schwester heißt Susi.,Deine Schwester heißt Susi.,Ihr Schwester heißt Susi.,Euer Schwester heißt Susi.,10,1
8,Ich habe einen Bruder.                   ___ Bruder       heißt Armin.,Mein Bruder heißt Armin.,Ihre Bruder heißt Armin.,Euer Bruder heißt Armin.,Unsere Bruder heißt Armin.,10,1
9,Ich habe zwei Freunde.                   ___ Freunde      leben in der Schweiz.,Meine Freunde leben in der Schweiz.,Unser Freunde leben in der Schweiz.,Deine Freunde leben in der Schweiz.,Ihr Freunde leben in der Schweiz.,10,1
10,Ich habe zwei Brüder.                    ___ Brüder       heißen Ben und Paul.,Meine Brüder heißen Ben und Paul.,Euer Brüder heißen Ben und Paul.,Mein Brüder heißen Ben und Paul.,Ihre Brüder heißen Ben und Paul.,10,1
11,Ich habe zwei Schwestern.                ___ Schwestern   heißen Anna und Nina.,Meine Schwestern heißen Anna und Nina.,Unsere Schwestern heißen Anna und Nina.,Eure Schwestern heißen Anna und Nina.,Ihr Schwestern heißen Anna und Nina.,10,1
12,Ich habe zwei Geschwister.               ___ Geschwister  wohnen in Norwegen.,Meine Geschwister wohnen in Norwegen.,Ihr Geschwister wohnen in Norwegen.,Ihre Geschwister wohnen in Norwegen.,Sein Geschwister wohnen in Norwegen.,10,1
13,Er hat zwei Geschwister.                 ___ Geschwister  studieren Medizin.,Seine Geschwister studieren Medizin.,Meine Geschwister studieren Medizin.,Ihre Geschwister studieren Medizin.,Dein Geschwister studieren Medizin.,10,1
14,Sie hat zwei Geschwister.                ___ Geschwister  heißen Rolf und Rosi.,Ihre Geschwister heißen Rolf und Rosi.,Sein Geschwister heißen Rolf und Rosi.,Deine Geschwister heißen Rolf und Rosi.,Unsere Geschwister heißen Rolf und Rosi.,10,1
15,Wir haben zwei Töchter.                  ___ Töchter      sind 12 und 15 Jahre alt.,Unsere Töchter sind 12 und 15 Jahre alt.,Ihre Töchter sind 12 und 15 Jahre alt.,Meine Töchter sind 12 und 15 Jahre alt.,Mein Töchter sind 12 und 15 Jahre alt.,10,1
16,Wir haben zwei Söhne.                    ___ Söhne        heißen Tom und Jannik.,Unsere Söhne heißen Tom und Jannik.,Ihr Söhne heißen Tom und Jannik.,Eure Söhne heißen Tom und Jannik.,Mein Söhne heißen Tom und Jannik.,10,1
17,Ihr habt zwei Töchter.                   ___ Töchter      sind in Australien.,Eure Töchter sind in Australien.,Ihr Töchter sind in Australien.,Seine Töchter sind in Australien.,Euer Töchter sind in Australien.,10,1
18,Der Student hat zwei Geschwister.        ___ Geschwister  heißen Jan und Tina.,Seine Geschwister heißen Jan und Tina.,Mein Geschwister heißen Jan und Tina.,Unser Geschwister heißen Jan und Tina.,Unsere Geschwister heißen Jan und Tina.,10,1
19,Die Studentin hat zwei Geschwister.      ___ Geschwister  heißen Peter und Tina.,Ihre Geschwister heißen Peter und Tina.,Unser Geschwister heißen Peter und Tina.,Eure Geschwister heißen Peter und Tina.,Dein Geschwister heißen Peter und Tina.,10,1
