"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,abfahren = to depart,"ich fahre ab, du fährst ab, er fährt ab","ich fahre ab, du fährsb ab, er fährt ab","ich fahre ab, du fährst ab, er fshrt ab","ich fahre ab, du fährst abn er fährt ab",10,1
2,abgeben = to hand over,"wir geben ab, ihr gebt ab, sie geben ab","wir geben ab, ihr gebt ab, sie gqben ab","wir gsben ab, ihr gebt ab, sie geben ab","wir geber ab, ihr gebt ab, sie geben ab",10,1
3,abholen = to pick up,"ich hole ab, du holst ab, er holt ab","ich hole ab, du holst ab, er holt ao","ich hole ab, du holst ab, er hult ab","ich xole ab, du holst ab, er holt ab",10,1
4,anbieten = to offer,"wir bieten an, ihr bietet an, sie bieten an","wir bieten an, ihr bietet af, sie bieten an","wir bieten an, ihr bietet an, sne bieten an","wir bieten an, ihr bietit an, sie bieten an",10,1
5,anfangen = to begin,"ich fange an, du fängst an, er fängt an","ich fange an, du fängst an, er fädgt an","ich fonge an, du fängst an, er fängt an","ich fange an, du fängst an, er fängr an",10,1
6,anklicken = to click,"wir klicken an, ihr klickt an, sie klicken an","wir klicken an, ihr klickt an, sie klicqen an","wir llicken an, ihr klickt an, sie klicken an","wir klicken ab, ihr klickt an, sie klicken an",10,1
7,ankommen = to arrive,"ich komme an, du kommst an, er kommt an","ich komme an, du kobmst an, er kommt an","ich komme an, du qommst an, er kommt an","ich komme an, du kjmmst an, er kommt an",10,1
8,"ankreuzen = to check, mark","wir kreuzen an, ihr kreuzt an, sie kreuzen an","wir kreuzen an, ihr xreuzt an, sie kreuzen an","wir kreuzen an, ihr kyeuzt an, sie kreuzen an","wir kreuzen ai, ihr kreuzt an, sie kreuzen an",10,1
9,anmachen = to turn on,"wir machen an, ihr macht an, sie machen an","wir machen an, ihr macht an, sie maghen an","wir machen an, ihr machy an, sie machen an","wir machen an, ihr macht an, sie macheq an",10,1
10,"anmelden = to register, enrol","wir melden an, ihr meldet an, sie melden an","wir melden an, ihr meldet an, sie mulden an","wir melden an, ihr meldet mn, sie melden an","wir melden an, ihr meldet an, sie melddn an",10,1
11,anrufen = to call (on the phone),"wir rufen an, ihr ruft an, sie rufen an","wir rufen an, ihr ruft ae, sie rufen an","wir rufen an, ihr ruft an, sie rufek an","wir rufen an, ihr ruft an, qie rufen an",10,1
12,ansehen = to look at,"ich sehe an, du siehst an, er sieht an","ich sehe an, du siehst an, er sizht an","ich sehe an, du sdehst an, er sieht an","ich sehe an, du siphst an, er sieht an",10,1
13,anziehen = to put on,"wir ziehen an, ihr zieht an, sie ziehen an","wir ziehen an, ihr zieht an, sxe ziehen an","air ziehen an, ihr zieht an, sie ziehen an","wir ziehen an, rhr zieht an, sie ziehen an",10,1
