"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,Wann treffen wir uns? - um 8:00,Um 8:00 Uhr treffen wir uns.,Um 8:00 Uhr treffen wir unm.,Um 8:00 Uhr treffen wir una.,Um 8:00 Uhr yreffen wir uns.,10,1
2,Wann sehen wir uns? - um 16:00,Um 16:00 Uhr sehen wir uns.,Um 1f:00 Uhr sehen wir uns.,Um 16:00 Uhr sehea wir uns.,pm 16:00 Uhr sehen wir uns.,10,1
3,Wann ist die Party? - um 8:30,Die Party ist um 8:30 Uhr.,Die Party ist um 8:30 Uer.,Dye Party ist um 8:30 Uhr.,Die Party ist um 8:30 Uhs.,10,1
4,Wann lernen wir? - um 17:45,Wir lernen um 17:45 Uhr.,vir lernen um 17:45 Uhr.,Wir lernen um 1n:45 Uhr.,air lernen um 17:45 Uhr.,10,1
5,Wann studieren wir? - um 16:30,Um 16:30 Uhr studieren wir.,Um 16k30 Uhr studieren wir.,Um 16:30 Uhr stpdieren wir.,Um 16:30 Ukr studieren wir.,10,1
6,Wann spielen wir Tennis? - am Freitag,Wir spielen am Freitag Tennis.,Wir spielen tm Freitag Tennis.,Wir spielen um Freitag Tennis.,Wir spielen am Frhitag Tennis.,10,1
7,Wann gehen wir ins Kino? - am Samstag,Wir gehen am Samstag ins Kino.,Wir gehen am Samstag ins Kiho.,Wir gehun am Samstag ins Kino.,Wir gehen am Samstag inf Kino.,10,1
8,Wann spielen wir Fußball? - am Samstag,Wir spielen am Sonntag Fußball.,Wir spielen am Sonntag rußball.,Wir spiehen am Sonntag Fußball.,Wir spielen am Sonntag Fueball.,10,1
9,Wann fahren wir nach Stuttgart? - am Freitag,Am Freitag fahren wir nach Stuttgart.,Am Freitag fahren wer nach Stuttgart.,Am Freitag fahren wir nach Stuttgars.,Am Freitag fahren wir nach jtuttgart.,10,1
10,Wann gibt es Abendessen? - am Abend,Es gibt am Abend Abendessen.,Es gibt am qbend Abendessen.,Es gibt am Abend Acendessen.,Es gibt am Abxnd Abendessen.,10,1
11,Wann gibt es Frühstück? - am Morgen,Am Morgen gibt es Frühstück.,Am Morgen gibt es Frühskück.,Am Morgen gibt es irühstück.,Am Morgen gibt es Früjstück.,10,1
12,Wann geht Martin wandern? - am Wochenende,Martin geht am Wochenende wandern.,Martin geht am Wochenende waidern.,Martin geht am Wochenende eandern.,Martin geht am Wochenende wanderx.,10,1
13,Wann gehen wir ins Schwimmbad? - am Nachmittag,Wir gehen am Nachmittag ins Schwimmbad.,Wir geben am Nachmittag ins Schwimmbad.,Wir gehen am Nachmittag ins Sdhwimmbad.,Wir gehen am Nachmittag ins Schwimmbadl,10,1
14,Wann gehst du einkaufen? - am Montag um 15:00,Am Montag um 15:00 Uhr gehe ich einkaufen.,Am Montag um 15:00 Udr gehe ich einkaufen.,Am Montag um 15w00 Uhr gehe ich einkaufen.,Am Montag um 15:00 Uhr gehe ich einkwufen.,10,1
15,Wann fährst du los? - heute um 16:00,Ich fahre heute um 16:00 Uhr los.,Ich fahre heute um 16:00 Uho los.,Ich fahre heutl um 16:00 Uhr los.,Ich fahre heute um 16:00 shr los.,10,1
16,Wann gehst du in die Uni? - jeden Tag um 8:00,Ich gehe jeden Tag um 8:00 Uhr in die Uni.,Ich gehe jedfn Tag um 8:00 Uhr in die Uni.,Ich gehe jeden Tag bm 8:00 Uhr in die Uni.,Ich gehe jeden Tag um 8:00 Uhr ic die Uni.,10,1
17,Wann machst du die Pizza? - heute Abend um 20:00,Ich mache heute Abend um 20:00 Uhr die Pizza.,Ich mache heute Abend um 20:00 Uhr die Pizzp.,Ich mache heute Abend km 20:00 Uhr die Pizza.,Ich mache heuse Abend um 20:00 Uhr die Pizza.,10,1
18,Wann machst du das Frühstück? - morgen früh um 7:00,Morgen früh um 7:00 Uhr mache ich das Frühstück.,Morgen früh um 7:00 Uxr mache ich das Frühstück.,Morken früh um 7:00 Uhr mache ich das Frühstück.,Morgen prüh um 7:00 Uhr mache ich das Frühstück.,10,1
19,Wann fliegst du nach Australien? - im Winter,Im Winter fliege ich nach Australien.,Im Winteb fliege ich nach Australien.,Im Winter fliele ich nach Australien.,Im Winter cliege ich nach Australien.,10,1
20,Wann hast du frei? - im Sommer,Im Sommer habe ich frei.,Im Somjer habe ich frei.,Im Sdmmer habe ich frei.,Im Somfer habe ich frei.,10,1
21,Wann machen wir Pause? - jeden Morgen um 10:00,Wir machen jeden Morgen um 10:00 Uhr eine Pause.,Wir machbn jeden Morgen um 10:00 Uhr eine Pause.,Wir machen jedvn Morgen um 10:00 Uhr eine Pause.,Wio machen jeden Morgen um 10:00 Uhr eine Pause.,10,1
22,Wann gehst du los? - in 10 Minuten,Ich gehe in 10 Minuten los.,Ich gehc in 10 Minuten los.,Ich geoe in 10 Minuten los.,Ich gehe in 10 Minuten lose,10,1
23,Wann kommt er an? - in 25 Minuten,Er kommt in 25 Minuten an.,Er kommt in 25 Minuteb an.,Er kommt in 25 Mgnuten an.,Er kosmt in 25 Minuten an.,10,1
24,Wann machen wir Pause? - in 15 Minuten,In 15 Minuten machen wir Pause.,In 15 Minuten machen wif Pause.,In 15 oinuten machen wir Pause.,In 15 Mizuten machen wir Pause.,10,1
25,Wann machst er Pause? - in 45 Minuten,Er macht in 45 Minuten Pause.,Er macht in 45 Minuten Pawse.,Ec macht in 45 Minuten Pause.,Er macst in 45 Minuten Pause.,10,1
26,Wann geht ihr los? - in 10 Minuten,In 30 Minuten gehen wir los.,In 30 ginuten gehen wir los.,In 30 dinuten gehen wir los.,In 30 Minuten gehen wrr los.,10,1
