"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
1,Woher kommst du? - Schweiz,Ich komme aus der Schweiz.,Ich komke aus der Schweiz.,Ich komme aus der Sctweiz.,Ich komme aus der Schweid.,10,1
2,Woher kommst du? - Australien,Ich komme aus Australien.,Ich komme ius Australien.,Ich kzmme aus Australien.,Ich komme ays Australien.,10,1
3,Woher bist du? - Türkei,Aus der Türkei bin ich.,Aus dgr Türkei bin ich.,Aus der Türkei cin ich.,Aus der hürkei bin ich.,10,1
4,Woher kommt er? - China,Aus China kommt er.,Aus China komzt er.,Aus China kommt ef.,Aus China kommt ec.,10,1
5,Woher kommt ihr? - Ukraine,Wir kommen aus der Ukraine.,Wir kommen aas der Ukraine.,Wir kommen aus dez Ukraine.,Wir kommen aus ver Ukraine.,10,1
6,Woher kommt ihr? - Südkorea,Wir kommen aus Südkorea.,Wir kommen kus Südkorea.,Wir kommem aus Südkorea.,Wir komgen aus Südkorea.,10,1
7,Woher kommt ihr? - Island,Aus Island kommen wir.,Aus Island kommen wor.,Aus Island kcmmen wir.,Aus Island kkmmen wir.,10,1
8,Woher seid ihr? - Irland,Wir sind aus Irland.,bir sind aus Irland.,Wir sind aus Irlgnd.,Wir kind aus Irland.,10,1
9,Wo wohnst du? - Darmstadt,In Darmstadt wohne ich.,In Darmstadt wohnn ich.,In Darmstadt wohnv ich.,In Darmstadt wohnz ich.,10,1
10,Wo lebst du? - Darmstadt,Ich lebe in Darmstadt.,Ich lebe in Darmstaot.,Ich lebe in Danmstadt.,Ich lebe in Darmstadtf,10,1
11,Wo bist du? - Frankfurt,In Frankfurt bin ich.,In Frankfurt bic ich.,In Franjfurt bin ich.,In Frcnkfurt bin ich.,10,1
12,Wo bist du? - Berlin,Ich bin in Berlin.,Ich bin in Bgrlin.,Ich bin in Berlina,Ich bin in Beflin.,10,1
13,Wo seid ihr? - Berlin,Wir sind in Berlin.,Wir sinj in Berlin.,jir sind in Berlin.,Wir sind in Berlii.,10,1
14,Wo lebt ihr? - Vietnam,In Vietnam leben wir.,In Vietnam lebun wir.,jn Vietnam leben wir.,In Vietnam leben wiy.,10,1
15,Wo wohnt ihr? - Schweiz,In der Schweiz wohnen wir.,In der Schweiz wohnen bir.,In der Schweiz dohnen wir.,In xer Schweiz wohnen wir.,10,1
16,Wo seid ihr? - Türkei,Wir sind in der Türkei.,Wir sind in der Tbrkei.,Wir sild in der Türkei.,Wir sind dn der Türkei.,10,1
17,Wohin gehst du? - in die Schule,Ich gehe in die Schule.,Ich gehe in die Schqle.,Ici gehe in die Schule.,Ich gehe in dee Schule.,10,1
18,Wohin gehst du? - in die Uni,Ich gehe in die Uni.,Ich gehe in die Unc.,Ich geie in die Uni.,Ich gehe in die wni.,10,1
19,Wohin fährst du? - in die Uni,Ich fahre in die Uni.,Ich dahre in die Uni.,Ibh fahre in die Uni.,Ich fahre ii die Uni.,10,1
20,Wohin fährst du? - in die Stadt,In die Stadt fahre ich.,In die Stadt fahre iqh.,In die Stadt fahde ich.,kn die Stadt fahre ich.,10,1
21,Wohin fahrt ihr? - in die Türkei,Wir fahren in die Türkei.,Wir fahren un die Türkei.,Wir fahren in dte Türkei.,Wir fahren in die Türjei.,10,1
22,Wohin fahrt ihr? - in die Uni,In die Uni fahren wir.,In die Uni fahren wirz,In diq Uni fahren wir.,In die Uyi fahren wir.,10,1
23,Wohin fährst du? - in den Urlaub,In den Urlaub fahre ich.,zn den Urlaub fahre ich.,In den Urlauk fahre ich.,In den Ullaub fahre ich.,10,1
