beginnen (Er beginnt.),begann,Er hat begonnen.
bleiben (Er bleibt.),blieb,Er ist geblieben.
bringen (Er bringt.),brachte,Er hat gebracht.
denken (Er denkt.),dachte,Er hat gedacht.
dürfen (Er darf.),durfte,Er hat gedurft.
essen (Er isst.),aß,Er hat gegessen.
fahren (Er fährt.),fuhr,Er ist gefahren.
fangen (Er fängt.),fing,Er hat gefangen.
finden (Er findet.),fand,Er hat gefunden.
fliegen (Er fliegt.),flog,Er ist geflogen.
geben (Er gibt.),gab,Er hat gegeben.
gehen (Er geht.),ging,Er ist gegangen.
haben (Er hat.),Er hatte,Er hat gehabt.
heißen (Er heißt.),hieß,Er hat geheißen.
helfen (Er hilft.),half,Er hat geholfen.
kennen (Er kennt.),kannte,Er hat gekannt.
kommen (Er kommt.),kam,Er ist gekommen.
können (Er kann.),konnte,Er hat gekonnt.
laden (Er lädt.),lud,Er hat geladen.
lesen (Er liest.),las,Er hat gelesen.
mögen (Er mag.),mochte,Er hat gemocht.
müssen (Er muss.),musste,Er hat gemusst.
nehmen (Er nimmt.),nahm,Er hat genommen.
rufen (Er ruft.),rief,Er hat gerufen.
schlafen (Er schläft.),schlief,Er hat geschlafen.
schreiben (Er schreibt.),schrieb,Er hat geschrieben.
schwimmen (Er schwimmt.),schwamm,Er ist geschwommen.
sehen (Er sieht.),sah,Er hat gesehen.
sein (Er ist.),war,Er ist gewesen.
singen (Er singt.),sang,Er hat gesungen.
sollen (Er soll.),sollte,Er hat gesollt.
sprechen (Er spricht.),sprach,Er hat gesprochen.
stehen (Er steht.),stand,Er hat gestanden.
treffen (Er trifft.),traf,Er hat getroffen.
trinken (Er trinkt.),trank,Er hat getrunken.
tun (Er tut.),tat,Er hat getan.
werden (Er wird.),wurde,Er ist geworden.
wissen (Er weiß.),wusste,Er hat gewusst.
wollen (Er will.),wollte,Er hat gewollt.
