bergen (birgt),barg,hat geborgen
blasen (bläst),blies,hat geblasen
gebären (gebärt),gebar,hat geboren
pfeifen (pfeift),pfiff,hat gepfiffen
reißen (reißt),riss,hat gerissen
ringen (ringt),rang,hat gerungen
saufen (säuft),soff,hat gesoffen
schmelzen (schmilzt),schmolz,ist/hat geschmolzen
schreiten (schreitet),schritt,ist geschritten
schweigen (schweigt),schwieg,hat geschwiegen
schwellen (schwillt),schwoll,ist geschwollen
schwinden (schwindet),schwand,ist geschwunden
schwören (schwört),schwor,hat geschworen
spinnen (spinnt),spann,hat gesponnen
stechen (sticht),stach,hat gestochen
stoßen (stößt),stieß,ist/hat gestoßen
streichen (streicht),strich,ist/hat gestrichen
verderben (verdirbt),verdarb,ist/hat verdorben
weichen (weicht),wich,ist gewichen
wenden (wendet),wandte,hat gewandt
winden (windet),wand,hat gewunden
