²bewegen (bewegt),bewog,hat bewogen
dringen (dringt),drang,ist/hat gedrungen
erlöschen (erlischt),erlosch,ist erloschen
fechten (ficht),focht,hat gefochten
gedeihen (gedeiht),gedieh,ist gediehen
genesen (genest),genas,ist genesen
gleiten (gleitet),glitt,ist geglitten
klimmen (klimmt),klomm,ist geklommen
kneifen (kneift),kniff,hat gekniffen
kriechen (kriecht),kroch,ist gekrochen
melken (melkt),molk,hat gemolken
preisen (preist),pries,hat gepriesen
quellen (quillt),quoll,ist gequollen
rinnen (rinnt),rann,ist geronnen
saugen (saugt),sog,hat gesogen
schleichen (schleicht),schlich,ist geschlichen
²schleifen (schleift),schliff,hat geschliffen
schlingen (schlingt),schlang,hat geschlungen
schwingen (schwingt),schwang,ist/hat geschwungen
sinnen (sinnt),sann,hat gesonnen
sprießen (sprießt),spross,ist gesprossen
wringen (wringt),wrang,hat gewrungen
