// Title: 
// Mix_01_B
// 
// Tags: 
// Netzwerk neu A1
// 
// Support Page: 
// Dr. Kai, https://tm-tutor.de/
// 
// Description:  
// Netzwerk neu A1: Mix_01_B
// 
danke§ Danke!, = **Thanks!**
gut§ Das ist (gut)., = This is **good**.
hier§ Ich bin (hier). Und du bist da., = I am **here**. And you are there.
Es geht mir gut./gutgehen§ Es geht mir gut., = **I am fine.**
aus§ Ich komme (aus) Deutschland., = I come **from** Germany.
Ich wohne in Deutschland.§ Ich wohne in Deutschland., = **I am living in Germany.**
Bis bald/bald§ Bis bald., = **See you soon.**
Name§ der Name - zwei Namen, = the **name**
Nachbar§ der Nachbar - zwei Nachbarn, = the **neighbor**
Nachbarin§ die Nachbarin - zwei Nachbarinnen, = the (female) **neighbor**
Schön, dich kennenzulernen./kennenlernen§ Schön, dich kennenzulernen., = **Nice to meet you.**
wie§ (Wie) alt bist du?, = **How** old are you?
Wie geht's?/gutgehen§ Wie geht's? Wie geht es?, = **How are you?**
wo§ (Wo) wohnst du?, = **Where** do you live? 
woher§ (Woher) kommst du?, = **From where** are you? Where are you from?
auch§ Wohnst du (auch) in Berlin?, = Do you **also** live in Berlin?
alt§ Wie (alt) bist du?, = How **old** are you?
